동,X좌표,Y좌표
구의제1동,207119.5916,448988.7999
구의제1동,207093.5975,448984.2087
구의제1동,207097.311,448984.4788
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,207120.9587,448974.2556
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,207737.1033,448726.644
구의제1동,207740.6468,448725.4629
구의제1동,207743.7966,448724.1505
구의제1동,207747.0776,448722.3131
구의제1동,0,0
구의제1동,207738.5469,448731.1062
구의제1동,207742.0904,448730.45
구의제1동,207746.0277,448729.4001
구의제1동,207749.5711,448727.694
구의제1동,207752.8522,448726.1191
구의제1동,207299.1298,448647.9033
구의제1동,207298.9408,448643.3676
구의제1동,207298.9408,448640.1549
구의제1동,207299.1298,448635.9972
구의제1동,207298.9408,448632.4064
구의제1동,207304.7994,448648.8482
구의제1동,207304.6104,448644.1236
구의제1동,207304.6104,448640.1549
구의제1동,207304.9884,448635.8082
구의제1동,207305.3664,448632.0285
구의제1동,207310.28,448649.7932
구의제1동,207310.658,448644.8795
구의제1동,207310.658,448640.3439
구의제1동,207311.6029,448635.9972
구의제1동,207183.2776,449109.7406
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,207165.9297,449207.5744
구의제1동,207169.6008,449207.2685
구의제1동,207172.864,449207.0645
구의제1동,207176.3312,449206.7586
구의제1동,207179.6963,449206.3507
구의제1동,207182.9595,449206.1467
구의제1동,207186.4266,449205.8408
구의제1동,207189.7918,449205.5349
구의제1동,207192.851,449205.6369
구의제1동,207195.1965,449205.229
구의제1동,207378.2753,448293.6915
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,207698.4668,448442.6893
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
구의제1동,0,0
